"region"	"Persons 2022 0-5 years"	"Persons 2022 6-15 years"	"Persons 2022 16-19 years"	"Persons 2022 20-24 years"	"Persons 2022 25-29 years"	"Persons 2022 30-49 years"	"Persons 2022 50-59 years"	"Persons 2022 60-66 years"	"Persons 2022 67-69 years"	"Persons 2022 70-79 years"	"Persons 2022 80 years or older"
"03012703 Vålerenga rode 3"	123	216	61	83	170	656	241	116	47	85	26
"03012704 Vålerenga rode 4"	84	145	38	66	81	458	116	44	17	46	11
"03012705 Vålerenga rode 5"	56	110	34	30	78	341	93	43	13	27	5
"03012706 Vålerenga rode 6"	11	16	3	12	29	106	28	8	5	18	29
"03012801 Gamlebyen rode 1"	79	28	13	75	244	599	85	51	6	26	3
"03012802 Gamlebyen rode 2"	69	112	34	111	200	558	122	22	19	17	3
"03012803 Gamlebyen rode 3"	39	42	23	65	140	400	83	30	7	16	6
"03012804 Gamlebyen rode 4"	128	144	46	106	220	677	146	39	17	35	3
"03012805 Gamlebyen rode 5"	139	132	26	73	260	795	172	94	23	72	25
"03012901 Loenga"	0	0	0	0	0	0	0	0	0	0	0
"03012902 Loenga sør"	87	49	25	96	228	584	279	175	36	81	9
"03012903 Loenga nord"	117	40	41	145	330	797	256	102	28	51	10
"03013001 Grønlia"	12	9	8	55	68	104	32	12	3	5	0
"03013002 Sjursøya"	0	0	0	0	0	0	0	0	0	0	0
"03013003 Ekeberg"	14	40	16	21	13	69	46	30	20	61	31
"03013004 Ormsund"	25	57	19	23	25	114	72	38	21	40	6
"03013005 Nedre Bekkelaget"	59	108	58	64	72	285	209	118	40	110	41
"03013006 Ulvøya"	110	213	98	118	70	433	302	162	46	122	67
"03013007 Sørli"	102	217	64	75	53	353	182	127	44	147	106
"03013008 Bekkelagshøgda"	91	138	50	76	35	274	142	96	29	61	21
"03013009 Holtet"	146	306	98	74	65	546	245	150	41	158	86
"03013010 Brannfjell"	105	281	135	93	80	479	306	137	51	132	90
"03013011 Kastellet"	46	88	30	35	28	171	81	49	16	36	23
"03013012 Seterhøgda"	132	230	92	90	84	489	259	178	85	233	181
"03013101 Nedre Nordstrand"	81	164	101	112	78	387	362	181	68	202	79
"03013102 Midtåsen"	175	317	132	116	88	667	338	188	43	156	111
"03013103 Ljabru"	0	0	0	0	0	0	0	0	0	0	0
"03013104 Nordstrandshøgda"	205	399	167	112	109	766	368	168	66	211	136
"03013105 Bråten"	71	156	57	56	60	302	156	101	42	97	35
"03013106 Nordseter"	102	157	37	53	50	321	146	117	55	224	220
"03013107 Søndre Hellerud"	14	27	11	0	9	67	15	6	3	12	0
"03013108 Ljabru nord"	136	288	91	64	72	512	192	103	32	111	44
"03013109 Ljabru sør"	90	183	78	53	54	339	176	102	32	130	112
"03013201 Ljan"	190	315	127	126	119	717	414	286	110	298	127
"03013202 Øvre Ljanskollen"	38	125	33	35	32	208	87	35	23	52	14
"03013203 Skovbakken"	105	217	73	51	57	404	160	108	26	99	24
"03013204 Holmlia senter"	81	230	92	85	64	331	104	52	18	38	13
"03013205 Holmlia"	86	178	72	80	68	417	200	154	56	127	51
"03013206 Nedre Prinsdal"	155	310	125	125	132	666	262	137	45	130	57
"03013207 Asperud"	74	142	75	62	71	341	181	127	36	105	23
"03013208 Hauketo"	132	205	75	128	159	561	217	146	46	126	59
"03013209 Ravnåsen"	131	242	81	76	73	493	231	195	80	137	39
"03013210 Nordre Ås"	130	309	122	101	103	594	320	237	84	184	52
"03013211 Åsbråten"	159	280	111	120	137	603	269	180	49	100	18
"03013212 Hvervenbukta"	0	0	0	0	0	0	0	0	0	0	0
"03013213 Sloreåsen"	50	66	27	16	16	156	78	60	21	75	43
"03013214 Rosenholm"	0	3	3	3	3	43	16	8	0	3	0
"03013215 Øvre Prinsdal"	106	226	117	112	102	506	241	154	65	145	37
"03013301 Bjørnerud"	84	133	48	61	55	345	125	109	38	74	11
"03013302 Sværsvann"	7	6	3	5	3	21	13	9	3	9	7
"03013303 Godheim"	38	73	37	36	33	233	75	31	9	26	6
"03013304 Brenna"	95	159	71	74	70	360	144	128	41	68	20
"03013305 Dal"	74	107	74	78	59	305	167	86	31	69	23
"03013306 Munkerud"	150	357	103	93	70	695	276	129	42	113	34
"03013307 Mortensrud"	105	218	105	101	71	399	198	155	51	101	23
"03013308 Grønliåsen"	0	0	0	0	0	0	0	0	0	0	0
"03013309 Bjørnåsen"	0	0	0	0	0	0	0	0	0	0	0
"03013310 Meklenborg"	0	0	0	0	0	0	0	0	0	0	0
"03013311 Gjersrud"	6	6	0	7	8	13	14	0	0	9	0
"03013312 Stensrudåsen"	0	3	0	3	0	39	12	3	0	0	0
"03013313 Lofsrud"	33	59	7	16	20	144	41	35	17	58	27
"03013314 Tangen"	207	275	102	143	161	704	294	178	54	107	77
"03013315 Steinbråten"	82	160	55	61	33	353	151	66	27	53	23
"03013316 Brunåsen"	123	275	142	169	139	442	266	168	48	71	12
"03013317 Rudshøgda"	0	0	0	0	0	0	0	0	0	0	0
"03013318 Gjerdsrudhøgda"	0	0	0	0	0	8	0	0	0	3	3
"03013319 Bjørnåsen nord"	134	314	132	143	109	519	260	121	31	40	14
"03013320 Bjørnåsen sør"	143	244	89	88	103	419	146	58	9	24	4
"03013321 Meklenborg nord"	108	237	91	103	92	399	161	111	33	47	10
"03013322 Meklenborg sør"	150	308	129	127	122	506	225	132	23	64	19
"03013323 Rudshøgda sør"	110	157	64	70	85	294	114	71	16	46	18
"03013324 Rudshøgda nord"	87	168	69	59	64	268	109	67	22	45	13
"03013325 Rudshøgda vest"	134	268	108	119	100	472	174	90	25	63	16
"03013401 Hellinga"	94	140	36	33	38	307	118	57	19	64	22
"03013402 Lambertseter sentrum"	76	77	26	54	167	386	128	93	38	113	99
"03013403 Marmorberget"	80	115	34	46	126	408	116	64	20	57	14
"03013404 Lille Langerud"	80	141	40	47	41	331	113	63	31	46	11
"03013405 Nylænde"	89	131	51	63	180	494	185	122	37	153	73
"03013406 Karlsrud"	64	77	39	40	109	309	111	70	32	65	44
"03013407 Munkelia sør"	102	158	60	41	31	340	124	62	12	36	21
"03013408 Blåfjellet"	0	0	0	0	0	0	0	0	0	0	0
"03013409 Bergkrystallen"	137	159	67	100	306	840	295	167	51	165	66
"03013410 Skullerud"	0	0	0	0	0	0	0	0	0	0	0
"03013411 Rustad"	14	41	26	28	17	91	74	28	8	24	30
"03013412 Løvsetdalen"	68	126	47	45	33	242	105	64	26	80	60
"03013413 Bogerud"	105	219	53	68	84	510	266	148	51	134	120
"03013414 Bølerlia"	158	224	85	65	179	723	299	149	56	133	148
"03013415 Haraløkka"	172	257	117	95	128	744	370	189	47	135	166
"03013416 Munkelia nord"	42	43	12	14	26	131	29	23	9	20	6
"03013417 Stallerud"	72	161	70	86	95	377	164	99	35	88	59
"03013418 Blåfjellet vest"	61	80	30	34	71	268	120	89	31	92	66
"03013419 Blåfjellet nord"	54	64	31	42	84	278	92	54	26	36	21
"03013420 Blåfjellet øst"	86	142	54	48	128	424	112	60	16	49	61
"03013421 Skullerud nord"	185	208	70	99	178	714	305	174	62	161	149
"03013422 Skullerud øst"	68	128	37	43	61	271	137	79	37	84	56
"03013423 Skullerud sør"	48	64	20	17	49	227	90	55	19	39	27
"03013501 Kværner"	0	0	0	0	0	0	0	0	0	0	0
"03013502 Lille Ekeberg"	113	240	95	76	68	460	217	110	32	121	67
"03013503 Simensbråten"	183	382	116	126	127	787	341	156	56	175	74
"03013504 Brattlikollen"	150	261	74	101	123	570	201	89	33	82	57
"03013505 Østerli"	252	455	135	142	133	950	372	183	69	150	82
"03013506 Abildsø"	71	187	59	40	33	329	135	69	19	38	24
"03013507 Søndre Manglerud"	145	266	65	62	23	478	179	76	18	44	59
"03013508 Vestre Manglerud"	166	194	64	107	276	786	277	171	42	151	134
"03013509 Ryen"	53	98	19	25	21	162	74	31	8	52	17
"03013510 Søndre Ryen"	0	0	0	0	0	0	0	0	0	0	0
"03013511 Høgda"	71	167	55	56	44	341	146	59	25	67	30
"03013512 Svartdal"	141	174	62	78	176	684	247	159	50	151	92
"03013513 Ryenberget"	142	145	25	51	106	559	115	56	21	49	7
"03013514 Nygårdskollen"	20	23	3	15	35	142	37	17	3	15	9
"03013515 Kværner nord"	138	96	19	77	320	760	146	87	32	62	8
"03013516 Kværner øst"	45	71	28	27	76	263	85	38	10	31	4
"03013517 Kværner sør"	128	96	12	81	208	588	109	52	15	34	8
"03013601 Fagerlia"	173	405	123	133	121	746	372	216	59	184	134
"03013602 Nordre Manglerud"	87	118	38	59	144	446	130	71	29	70	68
"03013603 Østre Manglerud"	43	84	14	15	3	140	47	29	9	17	9
"03013604 Rognerud"	56	125	46	33	49	270	141	71	25	72	29
"03013605 Brynslia"	17	17	9	19	31	124	33	19	3	13	9
"03013606 Høyenhall"	0	0	0	0	0	0	0	0	0	0	0
"03013607 Oppsal"	81	123	48	46	42	314	144	101	24	113	90
"03013608 Eftasåsen"	0	0	0	0	0	0	0	0	0	0	0
"03013609 Krinskollen"	77	207	79	72	47	352	201	98	26	62	39
"03013610 Bølersletta"	85	227	49	39	39	376	119	73	23	64	53
"03013611 Tveteråsen"	93	184	69	68	48	409	209	98	31	98	82
"03013612 Godlia"	57	153	45	37	30	225	142	74	27	49	31
"03013613 Skøyenåsen"	101	173	71	67	138	490	269	159	63	148	118
"03013614 Oppsaltoppen"	243	254	75	95	223	1045	295	188	49	108	74
"03013615 Vestre Trasop"	0	0	0	0	0	0	0	0	0	0	0
"03013616 Bryn"	3	0	0	3	3	11	3	3	0	0	0
